0 OPEN 
2277 REACHINIT 3742d3292ecae4399797ad5ff64aac26_ec109eb919314da744b7ec42ae4508cc
2336 REACHTARGET 2f7435e623e9a136927eb4dc4be58869_b2faf29fd18ae0e937847e9ea30dff10
2368 NODE 3742d3292ecae4399797ad5ff64aac26_ec109eb919314da744b7ec42ae4508cc
2459 RULE 433cccb048ba21c7067c9a82da6e3286_3742d3292ecae4399797ad5ff64aac26_ec109eb919314da744b7ec42ae4508cc_cb635a9a6ad98f152c0945f5f55ab55_ec109eb919314da744b7ec42ae4508cc
2465 NODE cb635a9a6ad98f152c0945f5f55ab55_ec109eb919314da744b7ec42ae4508cc
2531 RULE a53a12e87c6fc763bb9ed8bd1188ff98_cb635a9a6ad98f152c0945f5f55ab55_ec109eb919314da744b7ec42ae4508cc_6ed27478a670e4e24fc1022db4294618_ec109eb919314da744b7ec42ae4508cc
2535 NODE 6ed27478a670e4e24fc1022db4294618_ec109eb919314da744b7ec42ae4508cc
2593 RULE d820eb40bb79466f33bf732077f800f2_6ed27478a670e4e24fc1022db4294618_ec109eb919314da744b7ec42ae4508cc_5e079b0dc45072a8a31657a3f96a33de_ec109eb919314da744b7ec42ae4508cc
2596 NODE 5e079b0dc45072a8a31657a3f96a33de_ec109eb919314da744b7ec42ae4508cc
2673 RULE fcc932f6797bec5c4fa9a0919113472d_5e079b0dc45072a8a31657a3f96a33de_ec109eb919314da744b7ec42ae4508cc_aa81725e18f27c4e29ad4305ed3db20f_ec109eb919314da744b7ec42ae4508cc
2676 NODE aa81725e18f27c4e29ad4305ed3db20f_ec109eb919314da744b7ec42ae4508cc
2741 RULE cea77a2f7339b0ebc29955a3edd3ade3_aa81725e18f27c4e29ad4305ed3db20f_ec109eb919314da744b7ec42ae4508cc_22fc2aaace45187a9e313dddeb8ed0d3_ec109eb919314da744b7ec42ae4508cc
2743 NODE 22fc2aaace45187a9e313dddeb8ed0d3_ec109eb919314da744b7ec42ae4508cc
2803 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_22fc2aaace45187a9e313dddeb8ed0d3_ec109eb919314da744b7ec42ae4508cc_ac650bb7c0014dfd099c5b7cd433b28f_ec109eb919314da744b7ec42ae4508cc
2806 NODE ac650bb7c0014dfd099c5b7cd433b28f_ec109eb919314da744b7ec42ae4508cc
2867 RULE eda72887d51466ca12ef9fb370a5f983_ac650bb7c0014dfd099c5b7cd433b28f_ec109eb919314da744b7ec42ae4508cc_53a9aa58767f59e60454a406b186587_ec109eb919314da744b7ec42ae4508cc
2869 NODE 53a9aa58767f59e60454a406b186587_ec109eb919314da744b7ec42ae4508cc
3000 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_53a9aa58767f59e60454a406b186587_ec109eb919314da744b7ec42ae4508cc_6977cba5f6a42bfa953a2ad2467841d2_ec109eb919314da744b7ec42ae4508cc
3003 NODE 6977cba5f6a42bfa953a2ad2467841d2_ec109eb919314da744b7ec42ae4508cc
3068 RULE 810e9f9121da2b5da54a7b43a369b33_6977cba5f6a42bfa953a2ad2467841d2_ec109eb919314da744b7ec42ae4508cc_5cd9c4babc1ac787bbe2d2f4c2072671_ec109eb919314da744b7ec42ae4508cc
3071 NODE 5cd9c4babc1ac787bbe2d2f4c2072671_ec109eb919314da744b7ec42ae4508cc
3131 RULE dbdc342f3d4f7725f91a0be890ef88eb_5cd9c4babc1ac787bbe2d2f4c2072671_ec109eb919314da744b7ec42ae4508cc_2bb0b0cef54442f8be7384831716e129_ec109eb919314da744b7ec42ae4508cc
3133 NODE 2bb0b0cef54442f8be7384831716e129_ec109eb919314da744b7ec42ae4508cc
3191 RULE 70cc981e905ae18e1c6074578475b6a5_2bb0b0cef54442f8be7384831716e129_ec109eb919314da744b7ec42ae4508cc_7a9178d573299c3bdaa1182b0231f2f_ec109eb919314da744b7ec42ae4508cc
3199 NODE 7a9178d573299c3bdaa1182b0231f2f_ec109eb919314da744b7ec42ae4508cc
3264 RULE 433cccb048ba21c7067c9a82da6e3286_7a9178d573299c3bdaa1182b0231f2f_ec109eb919314da744b7ec42ae4508cc_7b0e974df9f7227ad5a8e54acfe124fe_ec109eb919314da744b7ec42ae4508cc
3267 NODE 7b0e974df9f7227ad5a8e54acfe124fe_ec109eb919314da744b7ec42ae4508cc
3324 RULE a53a12e87c6fc763bb9ed8bd1188ff98_7b0e974df9f7227ad5a8e54acfe124fe_ec109eb919314da744b7ec42ae4508cc_361981b8b14cac44f0670c130d7f0cd8_ec109eb919314da744b7ec42ae4508cc
3325 NODE 361981b8b14cac44f0670c130d7f0cd8_ec109eb919314da744b7ec42ae4508cc
3380 RULE d820eb40bb79466f33bf732077f800f2_361981b8b14cac44f0670c130d7f0cd8_ec109eb919314da744b7ec42ae4508cc_7b1a4bb772f5e8437f1a87708fb903f4_ec109eb919314da744b7ec42ae4508cc
3382 NODE 7b1a4bb772f5e8437f1a87708fb903f4_ec109eb919314da744b7ec42ae4508cc
3438 RULE fcc932f6797bec5c4fa9a0919113472d_7b1a4bb772f5e8437f1a87708fb903f4_ec109eb919314da744b7ec42ae4508cc_e6e28995213abcae40b83515ab88c808_ec109eb919314da744b7ec42ae4508cc
3440 NODE e6e28995213abcae40b83515ab88c808_ec109eb919314da744b7ec42ae4508cc
3492 RULE cea77a2f7339b0ebc29955a3edd3ade3_e6e28995213abcae40b83515ab88c808_ec109eb919314da744b7ec42ae4508cc_2fe13069d557141b2b255ad1afd2c8fa_ec109eb919314da744b7ec42ae4508cc
3494 NODE 2fe13069d557141b2b255ad1afd2c8fa_ec109eb919314da744b7ec42ae4508cc
3547 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_2fe13069d557141b2b255ad1afd2c8fa_ec109eb919314da744b7ec42ae4508cc_a64ee30f76e34d50d70d09cb459bee2c_ec109eb919314da744b7ec42ae4508cc
3549 NODE a64ee30f76e34d50d70d09cb459bee2c_ec109eb919314da744b7ec42ae4508cc
3599 RULE eda72887d51466ca12ef9fb370a5f983_a64ee30f76e34d50d70d09cb459bee2c_ec109eb919314da744b7ec42ae4508cc_e7961773018db7331bcbe400267f6d68_ec109eb919314da744b7ec42ae4508cc
3601 NODE e7961773018db7331bcbe400267f6d68_ec109eb919314da744b7ec42ae4508cc
3698 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_e7961773018db7331bcbe400267f6d68_ec109eb919314da744b7ec42ae4508cc_7d2ddd37750d91bee8b779e4cd73e674_ec109eb919314da744b7ec42ae4508cc
3699 NODE 7d2ddd37750d91bee8b779e4cd73e674_ec109eb919314da744b7ec42ae4508cc
3738 RULE 810e9f9121da2b5da54a7b43a369b33_7d2ddd37750d91bee8b779e4cd73e674_ec109eb919314da744b7ec42ae4508cc_b787262f491978dd990840d77dc5b9ed_ec109eb919314da744b7ec42ae4508cc
3741 NODE b787262f491978dd990840d77dc5b9ed_ec109eb919314da744b7ec42ae4508cc
3785 RULE dbdc342f3d4f7725f91a0be890ef88eb_b787262f491978dd990840d77dc5b9ed_ec109eb919314da744b7ec42ae4508cc_7936aa44f12402c0faaafe1dc312cb49_ec109eb919314da744b7ec42ae4508cc
