0 OPEN 
3011 REACHINIT f6d6ca38cab038d2ac76f39e71273339_6dca0d061ad727648e3fa81691a062cc
3105 REACHTARGET 7212dfaaf0306675c622127afd9f2d7e_b2faf29fd18ae0e937847e9ea30dff10
3180 NODE f6d6ca38cab038d2ac76f39e71273339_6dca0d061ad727648e3fa81691a062cc
3306 RULE 433cccb048ba21c7067c9a82da6e3286_f6d6ca38cab038d2ac76f39e71273339_6dca0d061ad727648e3fa81691a062cc_ea397d2c0c9d2fb56c5c457196bb53be_6dca0d061ad727648e3fa81691a062cc
3366 NODE ea397d2c0c9d2fb56c5c457196bb53be_6dca0d061ad727648e3fa81691a062cc
3476 RULE a53a12e87c6fc763bb9ed8bd1188ff98_ea397d2c0c9d2fb56c5c457196bb53be_6dca0d061ad727648e3fa81691a062cc_860d86ca5bf15c8625101ef52e3c6bc3_6dca0d061ad727648e3fa81691a062cc
3537 NODE 860d86ca5bf15c8625101ef52e3c6bc3_6dca0d061ad727648e3fa81691a062cc
3644 RULE d820eb40bb79466f33bf732077f800f2_860d86ca5bf15c8625101ef52e3c6bc3_6dca0d061ad727648e3fa81691a062cc_f931262846499dc5d35595ee3967ed59_6dca0d061ad727648e3fa81691a062cc
3692 NODE f931262846499dc5d35595ee3967ed59_6dca0d061ad727648e3fa81691a062cc
3787 RULE fcc932f6797bec5c4fa9a0919113472d_f931262846499dc5d35595ee3967ed59_6dca0d061ad727648e3fa81691a062cc_bcf4282c2ef27dfd95d63a3c83d734e3_6dca0d061ad727648e3fa81691a062cc
3842 NODE bcf4282c2ef27dfd95d63a3c83d734e3_6dca0d061ad727648e3fa81691a062cc
3937 RULE cea77a2f7339b0ebc29955a3edd3ade3_bcf4282c2ef27dfd95d63a3c83d734e3_6dca0d061ad727648e3fa81691a062cc_1acf5c3e8947c2628a1ec0160047acc_6dca0d061ad727648e3fa81691a062cc
3983 NODE 1acf5c3e8947c2628a1ec0160047acc_6dca0d061ad727648e3fa81691a062cc
4075 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_1acf5c3e8947c2628a1ec0160047acc_6dca0d061ad727648e3fa81691a062cc_44146fb1a9041278b9d12e0d4c71ab5e_6dca0d061ad727648e3fa81691a062cc
4124 NODE 44146fb1a9041278b9d12e0d4c71ab5e_6dca0d061ad727648e3fa81691a062cc
4227 RULE eda72887d51466ca12ef9fb370a5f983_44146fb1a9041278b9d12e0d4c71ab5e_6dca0d061ad727648e3fa81691a062cc_84e4b28932423c774eb34f9e719f8b2a_6dca0d061ad727648e3fa81691a062cc
4276 NODE 84e4b28932423c774eb34f9e719f8b2a_6dca0d061ad727648e3fa81691a062cc
4425 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_84e4b28932423c774eb34f9e719f8b2a_6dca0d061ad727648e3fa81691a062cc_9799275620ab965620a20aadbdb3f7d7_6dca0d061ad727648e3fa81691a062cc
4471 NODE 9799275620ab965620a20aadbdb3f7d7_6dca0d061ad727648e3fa81691a062cc
4564 RULE 810e9f9121da2b5da54a7b43a369b33_9799275620ab965620a20aadbdb3f7d7_6dca0d061ad727648e3fa81691a062cc_48c854fdc0707194784e0ea322dbc658_6dca0d061ad727648e3fa81691a062cc
4617 NODE 48c854fdc0707194784e0ea322dbc658_6dca0d061ad727648e3fa81691a062cc
4800 RULE dbdc342f3d4f7725f91a0be890ef88eb_48c854fdc0707194784e0ea322dbc658_6dca0d061ad727648e3fa81691a062cc_8195af91048d64a3caca116035b4cb68_6dca0d061ad727648e3fa81691a062cc
4978 NODE 8195af91048d64a3caca116035b4cb68_6dca0d061ad727648e3fa81691a062cc
5053 RULE 70cc981e905ae18e1c6074578475b6a5_8195af91048d64a3caca116035b4cb68_6dca0d061ad727648e3fa81691a062cc_2de9de33f19fe9b2061687d5fda3af2f_6dca0d061ad727648e3fa81691a062cc
5095 NODE 2de9de33f19fe9b2061687d5fda3af2f_6dca0d061ad727648e3fa81691a062cc
5165 RULE 433cccb048ba21c7067c9a82da6e3286_2de9de33f19fe9b2061687d5fda3af2f_6dca0d061ad727648e3fa81691a062cc_8d1e53372d222b34ec619aaf79343358_6dca0d061ad727648e3fa81691a062cc
5203 NODE 8d1e53372d222b34ec619aaf79343358_6dca0d061ad727648e3fa81691a062cc
5290 RULE a53a12e87c6fc763bb9ed8bd1188ff98_8d1e53372d222b34ec619aaf79343358_6dca0d061ad727648e3fa81691a062cc_1fef97b6cf323ba227626020dec162c1_6dca0d061ad727648e3fa81691a062cc
5333 NODE 1fef97b6cf323ba227626020dec162c1_6dca0d061ad727648e3fa81691a062cc
5412 RULE d820eb40bb79466f33bf732077f800f2_1fef97b6cf323ba227626020dec162c1_6dca0d061ad727648e3fa81691a062cc_49562cb1e5224301d7eb91c27a40db3e_6dca0d061ad727648e3fa81691a062cc
5448 NODE 49562cb1e5224301d7eb91c27a40db3e_6dca0d061ad727648e3fa81691a062cc
5518 RULE fcc932f6797bec5c4fa9a0919113472d_49562cb1e5224301d7eb91c27a40db3e_6dca0d061ad727648e3fa81691a062cc_e88810ecebd92d0a686c404eda7c8a65_6dca0d061ad727648e3fa81691a062cc
5554 NODE e88810ecebd92d0a686c404eda7c8a65_6dca0d061ad727648e3fa81691a062cc
5625 RULE cea77a2f7339b0ebc29955a3edd3ade3_e88810ecebd92d0a686c404eda7c8a65_6dca0d061ad727648e3fa81691a062cc_597701faab97ebf671b4cbfd98b5741b_6dca0d061ad727648e3fa81691a062cc
5661 NODE 597701faab97ebf671b4cbfd98b5741b_6dca0d061ad727648e3fa81691a062cc
5745 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_597701faab97ebf671b4cbfd98b5741b_6dca0d061ad727648e3fa81691a062cc_944dd500599f9d5f06ff503d10ca3d10_6dca0d061ad727648e3fa81691a062cc
5796 NODE 944dd500599f9d5f06ff503d10ca3d10_6dca0d061ad727648e3fa81691a062cc
5892 RULE eda72887d51466ca12ef9fb370a5f983_944dd500599f9d5f06ff503d10ca3d10_6dca0d061ad727648e3fa81691a062cc_74e0130194e3562fa649758f75f3cb4d_6dca0d061ad727648e3fa81691a062cc
5937 NODE 74e0130194e3562fa649758f75f3cb4d_6dca0d061ad727648e3fa81691a062cc
6081 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_74e0130194e3562fa649758f75f3cb4d_6dca0d061ad727648e3fa81691a062cc_f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc
6123 NODE f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc
6191 RULE 810e9f9121da2b5da54a7b43a369b33_f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc_72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc
6229 NODE 72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc
6309 RULE dbdc342f3d4f7725f91a0be890ef88eb_72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc_302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc
6344 NODE 302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc
6415 RULE 70cc981e905ae18e1c6074578475b6a5_302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc_5ae3e630be94f7d16912b4f6a238a803_6dca0d061ad727648e3fa81691a062cc
